street|number|locality|xpos|ypos|street_sv
"Aino Acktén tie"|1|"Helsinki"|2549782|6679633|"Aino Acktes väg"
"Atomitie"|2|"Helsinki"|2548176|6679429|"Atomvägen"
"Fredrikinkatu"|63|"Helsinki"|2551935|6673315|"Fredriksgatan"
"Gunillankuja"|2|"Helsinki"|2557955|6673211|"Gunillagränden"
"Gunillantie"|2|"Helsinki"|2558151|6673287|"Gunillavägen"
"Hermannin Rantatie"|26|"Helsinki"|2554162|6676434|"Hermanstads Strandväg"
"Hiihtomäentie"|34|"Helsinki"|2557376|6677212|"Skidbacksvägen"
"Hiihtäjäntie"|2|"Helsinki"|2557123|6676318|"Skidlöparvägen"
"Hiomotie"|13|"Helsinki"|2548522|6679076|"Sliperivägen"
"Hiomotie"|17|"Helsinki"|2548407|6679102|"Sliperivägen"
"Hylkeenpyytäjänkatu"|1|"Helsinki"|2551862|6671939|"Säljägargatan"
"Hylkeenpyytäjänkatu"|2|"Helsinki"|2551732|6671835|"Säljägargatan"
"Itäkatu"|1|"Helsinki"|2560335|6678457|"Östergatan"
"Jakomäentie"|1|"Helsinki"|2559391|6683051|"Jakobackavägen"
"Jakomäentie"|2|"Helsinki"|2559691|6683759|"Jakobackavägen"
"Johtokivenkuja"|2|"Helsinki"|2556322|6680419|"Ledstensgränden"
"Johtokiventie"|1|"Helsinki"|2556352|6680483|"Ledstensvägen"
"Joukolantie"|8|"Helsinki"|2553009|6678432|"Joukolavägen"
"Jäkäläpolku"|2|"Helsinki"|2557312|6683922|"Lavstigen"
"Kaarelantie"|6|"Helsinki"|2550090|6681354|"Kårbölevägen"
"Kadetintie"|2|"Helsinki"|2548831|6676375|"Kadettvägen"
"Kalannintie"|19|"Helsinki"|2549436|6682515|"Kalantivägen"
"Kantelettarentie"|1|"Helsinki"|2549464|6680842|"Kanteletarvägen"
"Karhusuontie"|76|"Helsinki"|2554461|6683412|"Björnkärrsvägen"
"Kasarmikatu"|19|"Helsinki"|2552824|6673000|"Kaserngatan"
"Kaupintie"|2|"Helsinki"|2549415|6680442|"Krämarvägen"
"Kiskontie"|15|"Helsinki"|2550533|6676974|"Kiskovägen"
"Kiskontie"|19|"Helsinki"|2550428|6677110|"Kiskovägen"
"Kiviportintie"|67|"Helsinki"|2561196|6679735|"Stenportsvägen"
"Koillisväylä"|9|"Helsinki"|2549374|6672558|"Nordostpassagen"
"Koirasaarentie"|1|"Helsinki"|2558378|6674270|"Hundholmsvägen"
"Kontulankaari"|1|"Helsinki"|2559778|6681381|"Gårdsbackabågen"
"Kotikonnuntie"|1|"Helsinki"|2560491|6681210|"Hemgårdsvägen"
"Kulosaarentie"|1|"Helsinki"|2555709|6675295|"Brändövägen"
"Kulosaarentie"|2|"Helsinki"|2555764|6675356|"Brändövägen"
"Kylänevantie"|1|"Helsinki"|2550043|6678261|"Bymossavägen"
"Kylänevantie"|2|"Helsinki"|2550064|6678174|"Bymossavägen"
"Kytöniityntie"|2|"Helsinki"|2552092|6682278|"Kyttängsvägen"
"Kytöniityntie"|37|"Helsinki"|2551857|6682602|"Kyttängsvägen"
"Kyösti Kallion tie"|1|"Helsinki"|2556219|6675346|"Kyösti Kallios väg"
"Kärkitie"|1|"Helsinki"|2548645|6675787|"Uddvägen"
"Laaksotie"|1|"Helsinki"|2558587|6685232|"Dalvägen"
"Ladonlukonpolku"|2|"Helsinki"|2550228|6682413|"Ladulåsstigen"
"Lappeentie"|40|"Helsinki"|2560898|6679579|"Lappvesivägen"
"Lastenlinnantie"|2|"Helsinki"|2550694|6675244|"Barnets Borgs väg"
"Lautatarhankatu"|2|"Helsinki"|2553828|6675727|"Brädgårdsgatan"
"Lauttasaarentie"|48|"Helsinki"|2548620|6672457|"Drumsövägen"
"Louhikkotie"|7|"Helsinki"|2559873|6683096|"Hölstervägen"
"Maasälväntie"|3|"Helsinki"|2556255|6680980|"Fältspatsvägen"
"Majakkakuja"|3|"Helsinki"|2551078|6671956|"Fyrgränd"
"Majakkakuja"|3|"Helsinki"|2567580|6682455|"Fyrgränd"
"Majakkakuja"|5|"Helsinki"|2551006|6672007|"Fyrgränd"
"Majakkakuja"|5|"Helsinki"|2567563|6682487|"Fyrgränd"
"Mannerheimintie"|15|"Helsinki"|2551698|6674737|"Mannerheimvägen"
"Marsalkantie"|1|"Helsinki"|2555589|6675192|"Marskalkens väg"
"Mechelininkatu"|1|"Helsinki"|2551379|6673176|"Mechelingatan"
"Mechelininkatu"|2|"Helsinki"|2551252|6673551|"Mechelingatan"
