LON,LAT,NUMBER,STREET,CITY,DISTRICT,REGION,POSTCODE,ID
25.553615,65.0124418,5,Tervastie,,,,,
25.5530773,65.0126212,4,Tervastie,,,,,
25.3822052,65.1042914,106,Piimäperäntie,,,,,
25.4571375,64.9964261,6,Nuottasaarentie,,,,,
25.4580175,64.9969205,10,Tyrnäväntie,,,,,
25.5650594,65.0076127,9,Oulujoentie,,,,,
25.5627309,65.0043293,22,Nikkiläntie,,,,,
25.4607291,64.9992952,2,Tyrnäväntie,,,,,
25.4610482,64.9999096,4,Kempeleentie,,,,,
25.5604016,65.003934,93,Oulujoentie,,,,,
25.4599847,64.9990517,4,Tyrnäväntie,,,,,
25.5616176,65.0043293,85,Oulujoentie,,,,,
25.5626899,65.0041763,21,Nikkiläntie,,,,,
25.4591688,64.9986936,6,Tyrnäväntie,,,,,
25.563183,65.0040195,19,Nikkiläntie,,,,,
25.4601401,64.998783,1,Tyrnäväntie,,,,,
25.4120657,65.0956303,16,Arolantie,,,,,
25.4586108,64.9980742,3,Tyrnäväntie,,,,,
25.5694697,65.0035745,1,Mukkelintie,,,,,
25.411932,65.0956919,14,Arolantie,,,,,
25.5720675,65.0045184,9,Mukkelintie,,,,,
25.5699539,65.0034439,2,Mukkelintie,,,,,
25.4585321,64.9970451,7,Tyrnäväntie,,,,,
25.5706546,65.0037016,4,Mukkelintie,,,,,
25.4610499,64.9974633,10,Kempeleentie,,,,,
25.4584301,64.9975981,5,Tyrnäväntie,,,,,
25.5714062,65.0039934,6,Mukkelintie,,,,,
25.4521283,64.9961318,10,Jääsalontie,,,,,
25.4515106,64.9957168,12,Jääsalontie,,,,,
25.4508294,64.9952416,14,Jääsalontie,,,,,
25.560556,65.0216941,4,Kaplastie,,,,,
25.4503046,64.9949032,16,Jääsalontie,,,,,
25.4497264,64.99454,18,Jääsalontie,,,,,
25.4489546,64.9940401,20,Jääsalontie,,,,,
25.4481767,64.9939783,2,Temmeksentie,,,,,
25.5636748,65.0162157,2,Laiduntie,,,,,
25.4471512,64.9938221,1,Temmeksentie,,,,,
25.5646159,65.0161375,26,Korpitie,,,,,
25.5650666,65.0159241,28,Korpitie,,,,,
25.4455815,64.992339,17,Jääsalontie,,,,,
25.567347,65.0150407,35,Korpitie,,,,,
25.5422624,65.0261707,4,Sivutie,,,,,
25.5429906,65.0262797,5,Kulmatie,,,,,
25.5457994,65.0295808,29,Sivutie,,,,,
25.4188775,65.06005,29,Oulunseläntie,,,,,
25.4175624,65.0600935,1,Piispanletontie,,,,,
25.4257665,65.0542522,7,Sumukellontie,,,,,
25.4258681,65.0540315,5,Sumukellontie,,,,,
25.4255784,65.0553017,16,Sumukellontie,,,,,
25.4265967,65.0555533,3,Sumpputie,,,,,
25.4271546,65.0555812,1,Sumpputie,,,,,
25.4323031,65.0504886,12,Rantapellontie,,,,,
25.4325471,65.0503282,10,Rantapellontie,,,,,
25.436286,65.0482553,81,Koskelantie,,,,,
25.4717702,64.9885818,11,Voudintie,,,,,
25.43755,65.0497857,9,Mertatie,,,,,
25.4353392,65.0506236,6,Poijutie,,,,,
25.4703655,64.9847387,2a,Äimäkuja,,,,,
25.4201573,65.0946311,36,Vaunumiehentie,,,,,
25.4568848,64.9842825,2,Oritkarintie,,,,,
25.4569621,64.9869059,8,Oritkarintie,,,,,
25.4563697,64.9860228,6,Oritkarintie,,,,,
25.4565266,64.9855128,4,Oritkarintie,,,,,
25.4364207,64.9877798,19,Poikkimaantie,,,,,
25.4242406,65.0937959,4,Timolankuja,,,,,
25.4422999,64.9849728,23,Poikkimaantie,,,,,
25.4596772,64.988354,7,Oritkarintie,,,,,
25.458104,64.9877531,5,Oritkarintie,,,,,
25.4568457,64.9872597,3,Oritkarintie,,,,,
25.4314553,65.0486308,10,Siimatie,,,,,
25.4367564,64.9907726,26,Jääsalontie,,,,,
25.4319797,65.0483778,8,Siimatie,,,,,
25.4292326,64.9913623,18,Poikkimaantie,,,,,
25.4328204,65.0490021,12,Troolitie,,,,,
25.4627872,64.9863598,5,Äimätie,,,,,
25.4637857,64.9839271,31,Poikkimaantie,,,,,
25.4654477,64.9845343,1,Äimätie,,,,,
25.4659147,64.9828284,4,Äimärautiontie,,,,,
25.4840226,64.994773,8,Kiskotie,,,,,
25.4845064,64.9947772,6,Kiskotie,,,,,
25.4849491,64.9947622,4,Kiskotie,,,,,
25.4856278,64.9948325,2,Kiskotie,,,,,
25.4786562,64.9946333,26,Kiskotie,,,,,
25.4802263,64.9919517,24,Varikkotie,,,,,
25.4803153,64.991738,26,Varikkotie,,,,,
25.4804591,64.9915169,28,Varikkotie,,,,,
25.4805686,64.9913007,30,Varikkotie,,,,,
25.4806684,64.9910875,32,Varikkotie,,,,,
25.4836079,64.9986179,7,Lintulammentie,,,,,
25.4860602,64.9991219,26,Joutsentie,,,,,
25.4898992,64.9979077,46,Nokelantie,,,,,
25.4895984,64.9976501,48a,Nokelantie,,,,,
25.4886672,64.9975769,48b,Nokelantie,,,,,
25.4888773,64.9982392,44,Nokelantie,,,,,
25.4893445,64.998414,42,Nokelantie,,,,,
25.4902837,64.9982549,40,Nokelantie,,,,,
25.4869373,64.9970323,3,Latokartanontie,,,,,
25.4862986,64.9969259,1,Latokartanontie,,,,,
25.4904256,64.9978604,39,Nokelantie,,,,,
25.4940303,64.9962953,15,Hanhitie,,,,,
25.4951,64.9960052,15d,Hanhitie,,,,,
25.4944185,64.9964291,15a,Hanhitie,,,,,
25.4950323,64.9966488,15b,Hanhitie,,,,,
25.4955597,64.9965889,15c,Hanhitie,,,,,
25.4915483,64.996067,1,Kaakkuritie,,,,,
25.4911894,64.9968229,4,Hanhitie,,,,,
25.4915866,64.9962371,2,Kaakkuritie,,,,,
25.4867182,64.9964638,2,Allitie,,,,,
25.4870241,64.996135,4,Allitie,,,,,
25.4873151,64.9958203,6,Allitie,,,,,
25.487631,64.9955367,8,Allitie,,,,,
25.4874283,64.996112,3,Allitie,,,,,
25.4873593,64.9967974,4,Latokartanontie,,,,,
25.4892673,64.9954916,9,Allitie,,,,,
25.4887108,64.9953446,10,Allitie,,,,,
25.489721,64.995329,12,Allitie,,,,,
25.4912563,64.9949174,15,Kuikkatie,,,,,
25.4944714,64.9958229,1a,Kuikkatie,,,,,
25.4943011,64.995716,1b,Kuikkatie,,,,,
25.4941692,64.995636,3a,Kuikkatie,,,,,
25.4940457,64.9955538,3b,Kuikkatie,,,,,
25.4939215,64.9954801,5a,Kuikkatie,,,,,
25.4937719,64.9954094,5b,Kuikkatie,,,,,
25.522144,64.9698195,5,Turkkitie,,,,,
25.4936117,64.9953495,7a,Kuikkatie,,,,,
25.4934489,64.9952796,7b,Kuikkatie,,,,,
25.4934218,64.9951532,9a,Kuikkatie,,,,,
25.4931557,64.9951328,9b,Kuikkatie,,,,,
25.4929599,64.9950896,11a,Kuikkatie,,,,,
25.4927644,64.9950445,11b,Kuikkatie,,,,,
25.4925401,64.9950175,13a,Kuikkatie,,,,,
25.492344,64.9949798,13b,Kuikkatie,,,,,
25.4950783,64.9938153,30a,Sorsatie,,,,,
25.4950102,64.9936954,30b,Sorsatie,,,,,
25.4949379,64.9935811,32a,Sorsatie,,,,,
25.4948625,64.9934633,32b,Sorsatie,,,,,
25.4950541,64.993276,34a,Sorsatie,,,,,
25.4947945,64.9931548,34b,Sorsatie,,,,,
25.4944717,64.9930721,36a,Sorsatie,,,,,
25.4941751,64.9929886,36b,Sorsatie,,,,,
25.4935373,64.9930395,13b,Koskelotie,,,,,
25.4934815,64.9931741,13a,Koskelotie,,,,,
25.4933956,64.9933038,11b,Koskelotie,,,,,
25.4933088,64.9934912,11a,Koskelotie,,,,,
25.4936996,64.9935214,9b,Koskelotie,,,,,
25.4938986,64.9935596,9a,Koskelotie,,,,,
25.494113,64.9936173,7b,Koskelotie,,,,,
25.4941698,64.9937877,7a,Koskelotie,,,,,
25.4940225,64.993862,5b,Koskelotie,,,,,
25.4937486,64.9938503,5a,Koskelotie,,,,,
25.493519,64.9938519,3b,Koskelotie,,,,,
25.4932639,64.9938569,3a,Koskelotie,,,,,
25.4962757,64.9951934,18,Sorsatie,,,,,
25.4958329,64.9950428,20a,Sorsatie,,,,,
25.4957506,64.9949401,20b,Sorsatie,,,,,
25.4957125,64.9948407,22a,Sorsatie,,,,,
25.4956597,64.994747,22b,Sorsatie,,,,,
25.495561,64.9946419,24a,Sorsatie,,,,,
25.4954959,64.9945434,24b,Sorsatie,,,,,
25.495449,64.9944438,26a,Sorsatie,,,,,
25.4953843,64.9943462,26b,Sorsatie,,,,,
25.4953361,64.9942429,28a,Sorsatie,,,,,
25.5190294,64.9465496,7,Huhtakalliontie,,,,,
25.4952488,64.9941405,28b,Sorsatie,,,,,
25.5018453,64.9971201,1a,Haapanatie,,,,,
25.5018962,64.9970148,1b,Haapanatie,,,,,
25.5019399,64.9969068,3a,Haapanatie,,,,,
25.5019855,64.9968069,3b,Haapanatie,,,,,
25.5020397,64.9967084,5a,Haapanatie,,,,,
25.5020994,64.9965972,5b,Haapanatie,,,,,
25.5021428,64.9964926,7a,Haapanatie,,,,,
25.5379947,65.0076656,34,Töllintie,,,,,
25.482764,65.012876,9,Koulukatu,,,,,
25.4832285,65.0129451,26,Linnankatu,,,,,
25.4828532,65.0124843,25,Kajaaninkatu,,,,,
25.4824512,65.0126769,11,Koulukatu,,,,,
25.4837423,65.0128056,28,Linnankatu,,,,,
25.4841251,65.0122578,6,Rautatienkatu,,,,,
25.4834644,65.0123196,27,Kajaaninkatu,,,,,
25.4844063,65.0124418,5,Rautatienkatu,,,,,
25.4842019,65.01268,32,Linnankatu,,,,,
25.483038,65.0116846,41,Asemakatu,,,,,
25.4834799,65.0118259,8,Rautatienkatu,,,,,
25.4834753,65.012043,38,Kajaaninkatu,,,,,
25.4836362,65.0119273,7,Rautatienkatu,,,,,
25.482185,65.0123932,32,Kajaaninkatu,,,,,
25.4820781,65.012289,13,Koulukatu,,,,,
25.4820622,65.0119534,37,Asemakatu,,,,,
25.4819186,65.012168,15,Koulukatu,,,,,
25.482549,65.0118225,39,Asemakatu,,,,,
25.4830092,65.0121683,36,Kajaaninkatu,,,,,
25.482617,65.012277,34,Kajaaninkatu,,,,,
25.4823941,65.0116801,32,Asemakatu,,,,,
25.4826977,65.0113938,9,Rautatienkatu,,,,,
25.4825034,65.0112681,10,Rautatienkatu,,,,,
25.481997,65.0112398,35,Hallituskatu,,,,,
25.481423,65.0119473,26,Asemakatu,,,,,
25.4811252,65.0117797,17,Koulukatu,,,,,
25.4809218,65.0116415,19,Koulukatu,,,,,
25.4813405,65.0114234,33,Hallituskatu,,,,,
25.480715,65.0112953,31,Hallituskatu,,,,,
25.530968,65.010334,3,Töllinkuja,,,,,
25.53089,65.0099806,9,Töllinkuja,,,,,
25.4800816,65.0103629,29,Pakkahuoneenkatu,,,,,
25.4796754,65.0107875,25,Koulukatu,,,,,
25.4808275,65.0108421,36,Hallituskatu,,,,,
25.4812048,65.0103478,14,Rautatienkatu,,,,,
25.4802619,65.0097129,16,Rautatienkatu,,,,,
25.4788897,65.0102342,31,Koulukatu,,,,,
25.4797992,65.0102222,34,Pakkahuoneenkatu,,,,,
25.4784846,65.0099614,33,Koulukatu,,,,,
25.4785043,65.0096088,31,Kauppurienkatu,,,,,
25.4782428,65.0097808,37,Koulukatu,,,,,
25.4790448,65.0094526,33,Kauppurienkatu,,,,,
25.4798575,65.0093838,18,Rautatienkatu,,,,,
25.4794061,65.0093552,35,Kauppurienkatu,,,,,
25.4067826,65.072019,2,Paneelitie,,,,,
25.4005836,65.0822926,80,Pateniementie,,,,,
25.5392431,64.9997175,13,Kastellinkaari,,,,,
25.4774552,65.0088225,27,Saaristonkatu,,,,,
25.4770805,65.0089325,45,Koulukatu,,,,,
25.5360935,64.9978134,7,Lylytie,,,,,
25.4789471,65.0093282,36,Kauppurienkatu,,,,,
25.4789975,65.0089258,20,Rautatienkatu,,,,,
25.4779198,65.0086902,31,Saaristonkatu,,,,,
25.4785657,65.0086439,22,Rautatienkatu,,,,,
25.547314,65.0028137,86,Torpantie,,,,,
25.4774607,65.0091883,41,Koulukatu,,,,,
25.3908703,65.0807142,8,Itälahdenkuja,,,,,
25.4777252,65.0094657,39,Koulukatu,,,,,
25.478431,65.0094667,34,Kauppurienkatu,,,,,
25.537057,65.0065102,35,Torpantie,,,,,
25.5385979,65.0061546,39,Torpantie,,,,,
25.5392437,65.0059877,41,Torpantie,,,,,
25.555606,65.0021813,10,Kirkkorannantie,,,,,
25.5530044,65.0015392,1,Kirkkorannantie,,,,,
25.5524007,65.002234,16,Kerolankuja,,,,,
25.5521451,65.0023875,14,Kerolankuja,,,,,
25.5515475,65.002693,10,Kerolankuja,,,,,
25.5498939,65.0035023,16,Onnelantie,,,,,
25.5487119,65.0047811,6,Tarhurintie,,,,,
25.5498822,65.0045452,26,Tarhurinkuja,,,,,
25.4056179,65.0708504,7,Seelarinpolku,,,,,
25.5498478,65.0048566,25,Tarhurinkuja,,,,,
25.5475343,65.0020959,3,Torpankuja,,,,,
25.5517089,65.0006582,101,Torpantie,,,,,
25.4660432,64.982511,6,Äimärautiontie,,,,,
25.46626,64.9821687,8,Äimärautiontie,,,,,
25.4664334,64.9818452,10,Äimärautiontie,,,,,
25.467725,64.981424,1,Äimärautiontie,,,,,
25.4213451,65.0623001,22,Voikukkatie,,,,,
25.4204669,65.0625525,20,Voikukkatie,,,,,
25.472311,64.9803847,20,Äimärautiontie,,,,,
25.4224556,65.063661,12,Sauramotie,,,,,
25.4230331,65.0636989,14,Sauramotie,,,,,
25.423116,65.0632461,11,Neilikkatie,,,,,
25.4226282,65.0632168,9,Neilikkatie,,,,,
25.4208182,65.0637263,5,Sauramotie,,,,,
25.4251149,65.0936812,10,Timolankuja,,,,,
25.4256701,65.0932095,6,Timolankuja,,,,,
25.4261198,65.0941486,65,Santajärventie,,,,,
25.4175417,65.0634844,8,Voikukkatie,,,,,
25.4797735,64.978905,20,Rantalantie,,,,,
25.4276042,65.0940227,66,Santajärventie,,,,,
25.4172435,65.0636801,6,Voikukkatie,,,,,
25.428667,65.0933382,29,Timolankuja,,,,,
25.4264524,65.1004533,116,Kalimentie,,,,,
25.4924925,65.0149629,10,Intiönpolku,,,,,
25.4934411,65.0151152,8,Intiönpolku,,,,,
25.4941819,65.0153321,6,Intiönpolku,,,,,
25.4158009,65.0655663,1,Tervakukkatie,,,,,
25.494948,65.0155512,4,Intiönpolku,,,,,
